Nombre,Telefono_Limpio,Fecha_Contacto
Bricks Pizzeria Sucursal Beijing,59169478686,2026-02-18
Restaurant Rincon del Valle,59165366883,2026-02-18
PIZZERIA Cocha-bambinos,59179746047,2026-02-18
Terraza Arturo Cafe Vinos,59177452267,2026-02-18
Kurkuma Suc. Tadeo Haenke,59179743164,2026-02-18
Restaurant Gusto familiar,59170784800,2026-02-18
Auro Rios Reposteria Artistica,59169531069,2026-02-18
Cacha blanca,59169535664,2026-02-18
La Pizzacleta,59175128921,2026-02-18 15:43:22
La Bourbonería,59176900693,2026-02-18 15:45:09
SUCULENTOS BY MONI'S,59170790931,2026-02-18 15:46:20
Mariana's bake shop,59176991871,2026-02-18 15:48:15
La Pelu,59176483104,2026-02-18 15:50:21
La Pet-luquería,59175973299,2026-02-18 16:05:22
Amsterdam BarberShop,59163317887,2026-02-18 16:07:41
Simpsons pizza house,59160729147,2026-02-19 11:17:31
Cinco&Medio,59167566606,2026-02-19 11:18:29
Yis Braids Style Trenzas Africanas,59173792812,2026-02-19 11:21:38
Barber club Van. Barberia,59163863648,2026-02-19 11:24:16
AJ BARBERSHOP,59176481278,2026-02-19 11:25:49
Automoba,59170308409,2026-02-19 11:35:40
BAUMEISTER Servicio Automotriz,59177444880,2026-02-19 11:36:56
Pan de Arani BILLIKIN Original,59171479248,2026-02-19 12:07:38
Zamorano Peluqueria Y Estetica,59170774319,2026-02-19 12:14:09
Hat Trick Barber Studio,59165317007,2026-02-19 12:16:10
La.Cueva.Barber.Studio,59169486295,2026-02-19 12:17:41
