Fecha_Envio,Nombre,Telefono,Categoria,Estado
2026-02-18 15:43:22,La Pizzacleta,59175128921,Pizzería,Enviado correctamente
2026-02-18 15:45:09,La Bourbonería,59176900693,Cafetería,Enviado correctamente
2026-02-18 15:46:20,SUCULENTOS BY MONI'S,59170790931,Bufé de dulces y repostería,Enviado correctamente
2026-02-18 15:48:15,Mariana's bake shop,59176991871,Pastelería,Enviado correctamente
2026-02-18 15:50:21,La Pelu,59176483104,Tienda de alimentos para animales,Enviado correctamente
2026-02-18 16:05:22,La Pet-luquería,59175973299,Peluquero de mascotas,Enviado correctamente
2026-02-18 16:07:41,Amsterdam BarberShop,59163317887,Barbería,Enviado correctamente
2026-02-19 11:17:31,Simpsons pizza house,59160729147,Pizzería,Enviado correctamente
2026-02-19 11:18:29,Cinco&Medio,59167566606,Cafetería,Enviado correctamente
2026-02-19 11:21:38,Yis Braids Style Trenzas Africanas,59173792812,Peluquería,Enviado correctamente
2026-02-19 11:24:16,Barber club Van. Barberia,59163863648,Barbería,Enviado correctamente
2026-02-19 11:25:49,AJ BARBERSHOP,59176481278,Barbería,Enviado correctamente
2026-02-19 11:35:40,Automoba,59170308409,Taller mecánico,Enviado correctamente
2026-02-19 11:36:56,BAUMEISTER Servicio Automotriz,59177444880,Taller mecánico,Enviado correctamente
2026-02-19 12:07:38,Pan de Arani BILLIKIN Original,59171479248,Panadería,Enviado correctamente
2026-02-19 12:14:09,Zamorano Peluqueria Y Estetica,59170774319,Centro de estética,Enviado correctamente
2026-02-19 12:16:10,Hat Trick Barber Studio,59165317007,Barbería,Enviado correctamente
2026-02-19 12:17:41,La.Cueva.Barber.Studio,59169486295,Barbería,Enviado correctamente
2026-02-19 12:19:38,Pan de Arani BILLIKIN Original,59171479248,Panadería,Enviado correctamente
2026-02-19 12:19:38,Zamorano Peluqueria Y Estetica,59170774319,Centro de estética,Enviado correctamente
2026-02-19 12:19:38,Hat Trick Barber Studio,59165317007,Barbería,Enviado correctamente
2026-02-19 12:19:38,La.Cueva.Barber.Studio,59169486295,Barbería,Enviado correctamente
