Nombre,Telefono_Limpio,Fecha_Reenvio,Estado
TALLER ELÉCTRICO CHISPALO ORIGINAL,59175997535,2026-03-08 18:57:10,Reenviado
ESEV empresa De Servicios Electricos Villarroel,59177428761,2026-03-08 18:58:22,Reenviado
"Taller eléctrico ""Raúl""",59167828322,2026-03-08 19:00:05,Reenviado
Oficina Nohelia Torrico Abogada,59172767071,2026-03-08 19:01:53,Reenviado
Consorcio Jurídico Rivera & Asociados,59179755477,2026-03-08 19:03:54,Reenviado
Trends Beauty Center,59172213108,2026-03-08 19:11:30,Reenviado
Thyka Lau Color Hair,59160360914,2026-03-08 19:12:48,Reenviado
Peluquería Miriam,59179982201,2026-03-08 19:14:14,Reenviado
Mueblería en melamina Hogar,59174146943,2026-03-08 19:16:06,Reenviado
Pizzería DíCarlos,59171467662,2026-03-08 19:17:39,Reenviado
Restaurante La Sazón de Mamá Julia,59165304104,2026-03-08 19:23:35,Reenviado
Tacos Guadalajara,59170367998,2026-03-08 19:25:04,Reenviado
Artesanal Panadería,59171453976,2026-03-08 19:26:59,Reenviado
Victoria Pastelería y Arte,59179797558,2026-03-08 19:28:36,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
Repostería Tiquipayeño Suc. Circunvalación,59171788782,2026-03-09 07:37:38,Reenviado
ESTUDIO CONTABLE ASOFEM,59175939507,2026-03-09 07:39:11,Reenviado
Amarthe Nails,59162671039,2026-03-09 07:41:00,Reenviado
TerraBella SPA,59175939640,2026-03-09 07:42:43,Reenviado
Cabero Nails Depil,59164889910,2026-03-09 07:44:31,Reenviado
Velvet Beauty Studio,59176404598,2026-03-09 07:54:14,Reenviado
E - Lashes Extensiones De Pestañas,59173645088,2026-03-09 07:55:28,Reenviado
PARADOX,59164927066,2026-03-09 07:57:21,Reenviado
CIMATEL IMPORTACIONES S.R.L,59161679790,2026-03-09 07:58:46,Reenviado
Multi Energia SRL,59172240057,2026-03-09 08:00:24,Reenviado
Noveltek LTDA.,59175925217,2026-03-09 08:06:01,Reenviado
Panini's Repostería - Salón de té,59162648765,2026-03-09 08:07:29,Reenviado
Trancapechos Y Silpanchos Don Carlos,59177955549,2026-03-09 08:08:53,Reenviado
Confitería San José 2,59174349639,2026-03-09 08:10:14,Reenviado
Academia de Taekwondo Athletic,59160760369,2026-03-09 08:12:01,Reenviado
ACADEMIA BUSHIDO KAI,59175998918,2026-03-09 08:17:30,Reenviado
CENTRO DE ARTES MARCIALES COCHABAMBA,59170783981,2026-03-09 08:19:21,Reenviado
Academia de artes marciales Yongshi,59170382587,2026-03-09 08:21:28,Reenviado
Casa de Funerales Garnica,59178300069,2026-03-09 08:23:30,Reenviado
LAS MISIONES Casa de Funerales,59161610652,2026-03-09 08:24:55,Reenviado
Servicios Bolivar Salones Velatorio Bethel,59160349992,2026-03-09 08:32:00,Reenviado
Funeraria Rivas,59175934111,2026-03-09 08:34:04,Reenviado
Yo amo los zapatos Cochabamba-Bolivia,59179955793,2026-03-09 08:36:02,Reenviado
𝐓𝐢𝐞𝐧𝐝𝐚 𝐃𝐞 𝐂𝐚𝐥𝐳𝐚𝐝𝐨𝐬 𝐂𝐚𝐫𝐌𝐞𝐥,59179746585,2026-03-09 08:37:24,Reenviado
TORNERÍA RI.MA,59167148792,2026-05-18 15:26:38,Reenviado
Torneria SACABA,59171763560,2026-05-18 15:27:44,Reenviado
TORNERIA TICO,59171776455,2026-05-18 15:28:55,Reenviado
Fumisol Control de Plagas y Desinfección,59169450238,2026-05-18 15:30:36,Reenviado
SEAMSA fumigaciones,59176900143,2026-05-18 15:32:05,Reenviado
Fumigaciones Kombat Maxx,59174801318,2026-05-18 15:33:35,Reenviado
JL Servicios Saneamiento Ambiental,59177964577,2026-05-18 15:34:43,Reenviado
Puraka Yoga,59175973558,2026-05-18 15:36:03,Reenviado
DIAMEZ Hotel Plaza,59170713149,2026-05-18 15:37:24,Reenviado
Ñaupa House Hostel,59172294592,2026-05-18 15:38:35,Reenviado
Hostal Arevalo,59170721137,2026-05-18 15:39:26,Reenviado
Running Chaski Hostel,59164910363,2026-05-18 15:41:10,Reenviado
Monte Blanco Casa Funeraria,59163911443,2026-05-18 15:42:09,Reenviado
Casa de Funerales La Capilla,59170733225,2026-05-18 15:43:35,Reenviado
FUNERARIA Viscarra,59177408179,2026-05-18 15:45:22,Reenviado
"Funeraria ""Del Valle""",59167575520,2026-05-18 15:47:08,Reenviado
LA MANSION Funeraria y Salones Velatorios,59170300537,2026-05-18 15:48:43,Reenviado
ECO BIKE,59176963059,2026-05-18 15:49:56,Reenviado
Bicicleteria JAILLITA,59165749959,2026-05-18 15:51:55,Reenviado
E-Biking,59176900350,2026-05-18 15:52:50,Reenviado
Ciclomundo Sports Center Cochabamba,59167709202,2026-05-18 15:54:37,Reenviado
Artiers Joyeria,59176405964,2026-05-18 15:55:59,Reenviado
Isabel's Glaze,59176957778,2026-05-18 15:56:56,Reenviado
Joyas JeanFer,59175996371,2026-05-18 15:58:43,Reenviado
Joyería Esferlu,59170798014,2026-05-18 16:00:37,Reenviado
